Head,Relation,Tail,Title,Article,Paragraph_Coreferenced,Sentence_Coreferenced,Article_Content
internationally accept accounting practice,subclass of,accounting rule,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements,the notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the union. l 193/146,the notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the union,"The financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in Article 80 and shall be comprised of: (a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 December of the preceding financial year; (b) the statement of financial performance, which presents the economic result for the preceding financial year; (c) the cash-flow statement showing amounts collected and disbursed during the financial year and the final treasury position; (d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results. L 193/146  The notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in Article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the Union. The notes shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts. The accounting officer shall, after the close of the financial year and up to the date of transmission of the general accounts, make any adjustments which, without involving disbursement or collection in respect of that year, are necessary for a true and fair view of those accounts. S e c t i o n 2 B u d g e t i m p l e m e n t a t i o n r e p o r t s"
internationally accept accounting practice,instance of,accounting rule,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements,the notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the union. l 193/146,the notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the union,"The financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in Article 80 and shall be comprised of: (a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 December of the preceding financial year; (b) the statement of financial performance, which presents the economic result for the preceding financial year; (c) the cash-flow statement showing amounts collected and disbursed during the financial year and the final treasury position; (d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results. L 193/146  The notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in Article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the Union. The notes shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts. The accounting officer shall, after the close of the financial year and up to the date of transmission of the general accounts, make any adjustments which, without involving disbursement or collection in respect of that year, are necessary for a true and fair view of those accounts. S e c t i o n 2 B u d g e t i m p l e m e n t a t i o n r e p o r t s"
internationally accept accounting practice,facet of,accounting rule,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements,the notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the union. l 193/146,the notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the union,"The financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in Article 80 and shall be comprised of: (a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 December of the preceding financial year; (b) the statement of financial performance, which presents the economic result for the preceding financial year; (c) the cash-flow statement showing amounts collected and disbursed during the financial year and the final treasury position; (d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results. L 193/146  The notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in Article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the Union. The notes shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts. The accounting officer shall, after the close of the financial year and up to the date of transmission of the general accounts, make any adjustments which, without involving disbursement or collection in respect of that year, are necessary for a true and fair view of those accounts. S e c t i o n 2 B u d g e t i m p l e m e n t a t i o n r e p o r t s"
rule method,part of,accounting principle,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements,"the notes to the financial statements shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts.","the notes to the financial statements shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts","The financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in Article 80 and shall be comprised of: (a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 December of the preceding financial year; (b) the statement of financial performance, which presents the economic result for the preceding financial year; (c) the cash-flow statement showing amounts collected and disbursed during the financial year and the final treasury position; (d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results. L 193/146  The notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in Article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the Union. The notes shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts. The accounting officer shall, after the close of the financial year and up to the date of transmission of the general accounts, make any adjustments which, without involving disbursement or collection in respect of that year, are necessary for a true and fair view of those accounts. S e c t i o n 2 B u d g e t i m p l e m e n t a t i o n r e p o r t s"
rule method,subclass of,accounting principle,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements,"the notes to the financial statements shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts.","the notes to the financial statements shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts","The financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in Article 80 and shall be comprised of: (a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 December of the preceding financial year; (b) the statement of financial performance, which presents the economic result for the preceding financial year; (c) the cash-flow statement showing amounts collected and disbursed during the financial year and the final treasury position; (d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results. L 193/146  The notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in Article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the Union. The notes shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts. The accounting officer shall, after the close of the financial year and up to the date of transmission of the general accounts, make any adjustments which, without involving disbursement or collection in respect of that year, are necessary for a true and fair view of those accounts. S e c t i o n 2 B u d g e t i m p l e m e n t a t i o n r e p o r t s"
fair presentation account,facet of,accounting principle,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements,"the notes to the financial statements shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts.","the notes to the financial statements shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts","The financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in Article 80 and shall be comprised of: (a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 December of the preceding financial year; (b) the statement of financial performance, which presents the economic result for the preceding financial year; (c) the cash-flow statement showing amounts collected and disbursed during the financial year and the final treasury position; (d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results. L 193/146  The notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in Article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the Union. The notes shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts. The accounting officer shall, after the close of the financial year and up to the date of transmission of the general accounts, make any adjustments which, without involving disbursement or collection in respect of that year, are necessary for a true and fair view of those accounts. S e c t i o n 2 B u d g e t i m p l e m e n t a t i o n r e p o r t s"
accounting officer,field of this occupation,general account,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements,"the accounting officer shall, after the close of the preceding financial year and up to the date of transmission of the general accounts, make any adjustments which, without involving disbursement or collection in respect of the preceding financial year, are necessary for a true and fair view of the general accounts. s e c t i o n 2 b u d g e t i m p l e m e n t a t i o n r e p o r t s","the accounting officer shall, after the close of the preceding financial year and up to the date of transmission of the general accounts, make any adjustments which, without involving disbursement or collection in respect of the preceding financial year, are necessary for a true and fair view of the general accounts","The financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in Article 80 and shall be comprised of: (a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 December of the preceding financial year; (b) the statement of financial performance, which presents the economic result for the preceding financial year; (c) the cash-flow statement showing amounts collected and disbursed during the financial year and the final treasury position; (d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results. L 193/146  The notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in Article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the Union. The notes shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts. The accounting officer shall, after the close of the financial year and up to the date of transmission of the general accounts, make any adjustments which, without involving disbursement or collection in respect of that year, are necessary for a true and fair view of those accounts. S e c t i o n 2 B u d g e t i m p l e m e n t a t i o n r e p o r t s"
general account,practiced by,accounting officer,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements,"the accounting officer shall, after the close of the preceding financial year and up to the date of transmission of the general accounts, make any adjustments which, without involving disbursement or collection in respect of the preceding financial year, are necessary for a true and fair view of the general accounts. s e c t i o n 2 b u d g e t i m p l e m e n t a t i o n r e p o r t s","the accounting officer shall, after the close of the preceding financial year and up to the date of transmission of the general accounts, make any adjustments which, without involving disbursement or collection in respect of the preceding financial year, are necessary for a true and fair view of the general accounts","The financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in Article 80 and shall be comprised of: (a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 December of the preceding financial year; (b) the statement of financial performance, which presents the economic result for the preceding financial year; (c) the cash-flow statement showing amounts collected and disbursed during the financial year and the final treasury position; (d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results. L 193/146  The notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in Article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the Union. The notes shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts. The accounting officer shall, after the close of the financial year and up to the date of transmission of the general accounts, make any adjustments which, without involving disbursement or collection in respect of that year, are necessary for a true and fair view of those accounts. S e c t i o n 2 B u d g e t i m p l e m e n t a t i o n r e p o r t s"
euro,has part,dollar,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 244  Budget implementation reports,"the budget implementation reports shall be presented in millions of euro and shall be comparable year by year. they shall consist of: (a) reports which aggregate all budgetary operations for the financial year in terms of revenue and expenditure; (b) the budget result, which is calculated on the basis of the annual budgetary balance referred to in decision 2014/335/eu, euratom; (c) explanatory notes, which shall supplement and comment on the information given in the reports.",the budget implementation reports shall be presented in millions of euro and shall be comparable year by year,"The budget implementation reports shall be presented in millions of euro and shall be comparable year by year. They shall consist of: (a) reports which aggregate all budgetary operations for the financial year in terms of revenue and expenditure; (b) the budget result, which is calculated on the basis of the annual budgetary balance referred to in Decision 2014/335/EU, Euratom; (c) explanatory notes, which shall supplement and comment on the information given in the reports. The structure of the budget implementation reports shall be the same as that of the budget itself. The budget implementation reports shall contain: (a) information on revenue, in particular changes in the revenue estimates, the revenue outturn and entitlements established; (b) information showing changes in the total commitment and payment appropriations available; (c) information showing the use made of the total commitment and payment appropriations available; (d) information showing commitments outstanding, those carried over from the preceding financial year and those made during the financial year. As regards information on revenue, a statement shall be attached to the budget implementation report showing, for each Member State, the breakdown of amounts of own resources still to be recovered at the end of the financial year and covered by a recovery order. S e c t i o n 3 A n n u a l a c c o u n t s t i m e t a b l e"
budget,facet of,euro,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 244  Budget implementation reports,"the budget implementation reports shall be presented in millions of euro and shall be comparable year by year. they shall consist of: (a) reports which aggregate all budgetary operations for the financial year in terms of revenue and expenditure; (b) the budget result, which is calculated on the basis of the annual budgetary balance referred to in decision 2014/335/eu, euratom; (c) explanatory notes, which shall supplement and comment on the information given in the reports.",the budget implementation reports shall be presented in millions of euro and shall be comparable year by year,"The budget implementation reports shall be presented in millions of euro and shall be comparable year by year. They shall consist of: (a) reports which aggregate all budgetary operations for the financial year in terms of revenue and expenditure; (b) the budget result, which is calculated on the basis of the annual budgetary balance referred to in Decision 2014/335/EU, Euratom; (c) explanatory notes, which shall supplement and comment on the information given in the reports. The structure of the budget implementation reports shall be the same as that of the budget itself. The budget implementation reports shall contain: (a) information on revenue, in particular changes in the revenue estimates, the revenue outturn and entitlements established; (b) information showing changes in the total commitment and payment appropriations available; (c) information showing the use made of the total commitment and payment appropriations available; (d) information showing commitments outstanding, those carried over from the preceding financial year and those made during the financial year. As regards information on revenue, a statement shall be attached to the budget implementation report showing, for each Member State, the breakdown of amounts of own resources still to be recovered at the end of the financial year and covered by a recovery order. S e c t i o n 3 A n n u a l a c c o u n t s t i m e t a b l e"
revenue,has part,expenditure,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 244  Budget implementation reports,"the budget implementation reports shall be presented in millions of euro and shall be comparable year by year. they shall consist of: (a) reports which aggregate all budgetary operations for the financial year in terms of revenue and expenditure; (b) the budget result, which is calculated on the basis of the annual budgetary balance referred to in decision 2014/335/eu, euratom; (c) explanatory notes, which shall supplement and comment on the information given in the reports.","they shall consist of: (a) reports which aggregate all budgetary operations for the financial year in terms of revenue and expenditure; (b) the budget result, which is calculated on the basis of the annual budgetary balance referred to in decision 2014/335/eu, euratom; (c) explanatory notes, which shall supplement and comment on the information given in the reports","The budget implementation reports shall be presented in millions of euro and shall be comparable year by year. They shall consist of: (a) reports which aggregate all budgetary operations for the financial year in terms of revenue and expenditure; (b) the budget result, which is calculated on the basis of the annual budgetary balance referred to in Decision 2014/335/EU, Euratom; (c) explanatory notes, which shall supplement and comment on the information given in the reports. The structure of the budget implementation reports shall be the same as that of the budget itself. The budget implementation reports shall contain: (a) information on revenue, in particular changes in the revenue estimates, the revenue outturn and entitlements established; (b) information showing changes in the total commitment and payment appropriations available; (c) information showing the use made of the total commitment and payment appropriations available; (d) information showing commitments outstanding, those carried over from the preceding financial year and those made during the financial year. As regards information on revenue, a statement shall be attached to the budget implementation report showing, for each Member State, the breakdown of amounts of own resources still to be recovered at the end of the financial year and covered by a recovery order. S e c t i o n 3 A n n u a l a c c o u n t s t i m e t a b l e"
budget implementation report,facet of,budget,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 244  Budget implementation reports,the structure of the budget implementation reports shall be the same as that of the budget itself.,the structure of the budget implementation reports shall be the same as that of the budget itself,"The budget implementation reports shall be presented in millions of euro and shall be comparable year by year. They shall consist of: (a) reports which aggregate all budgetary operations for the financial year in terms of revenue and expenditure; (b) the budget result, which is calculated on the basis of the annual budgetary balance referred to in Decision 2014/335/EU, Euratom; (c) explanatory notes, which shall supplement and comment on the information given in the reports. The structure of the budget implementation reports shall be the same as that of the budget itself. The budget implementation reports shall contain: (a) information on revenue, in particular changes in the revenue estimates, the revenue outturn and entitlements established; (b) information showing changes in the total commitment and payment appropriations available; (c) information showing the use made of the total commitment and payment appropriations available; (d) information showing commitments outstanding, those carried over from the preceding financial year and those made during the financial year. As regards information on revenue, a statement shall be attached to the budget implementation report showing, for each Member State, the breakdown of amounts of own resources still to be recovered at the end of the financial year and covered by a recovery order. S e c t i o n 3 A n n u a l a c c o u n t s t i m e t a b l e"
