Head,Relation,Tail,Title,Article,Paragraph_Coreferenced,Sentence_Coreferenced,Article_Content
payment appropriation,subclass of,nondifferentiate appropriation,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget,"the budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. the appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years.","the budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations","For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
nondifferentiate appropriation,subclass of,payment appropriation,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget,"the budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. the appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years.","the budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations","For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
nondifferentiate appropriation,has part,payment appropriation,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget,"the budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. the appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years.","the budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations","For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
budget,subclass of,appropriation,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget,"the budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. the appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years.","the appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years","For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
budget,has part,appropriation,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget,"the budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. the appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years.","the appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years","For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
appropriation,part of,budget,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget,"the budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. the appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years.","the appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years","For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
commitment appropriation,part of,financial year,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget,"commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to article 114(2).","commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to article 114(2)","For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
financial year,follows,precede financial year,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget,payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years.,payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years,"For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
precede financial year,followed by,financial year,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget,payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years.,payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years,"For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
appropriation,different from,budgetary commitment,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget,paragraphs 2 and 3 of this article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of article 112(1) and in article 112(2).,paragraphs 2 and 3 of this article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of article 112(1) and in article 112(2),"For each financial year, the budget shall forecast and authorise all revenue and expenditure considered necessary for the Union. It shall comprise: (a) the revenue and expenditure of the Union, including administrative expenditure resulting from the implementation of the provisions of the TEU relating to the common foreign and security policy (CFSP), and operational expenditure occasioned by implementation of those provisions where it is charged to the budget; (b) the revenue and expenditure of the European Atomic Energy Community. The budget shall contain differentiated appropriations, which consist of commitment appropriations and payment appropriations, and non-differentiated appropriations. The appropriations authorised for the financial year shall consist of: (a) appropriations provided in the budget, including by amending budgets; (b) appropriations carried over from preceding financial years; (c) appropriations made available again in accordance with Article 15; (d) appropriations arising from pre-financing payments which have been repaid in accordance with point (b) of Article 12(4); (e) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years. Commitment appropriations shall cover the total cost of the legal commitments entered into during the financial year, subject to Article 114(2). Payment appropriations shall cover payments made to honour the legal commitments entered into in the financial year or preceding financial years. Paragraphs 2 and 3 of this Article shall not prevent appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point (b) of the first subparagraph of Article 112(1) and in Article 112(2)."
